month,adj_close
"=""2023-02""",287.99771118
"=""2023-03""",314.84921265
"=""2023-04""",316.93811035
"=""2023-05""",341.92495728
"=""2023-06""",362.98147583
"=""2023-07""",377.51004028
"=""2023-08""",371.91156006
"=""2023-09""",352.50863647
"=""2023-10""",345.72732544
"=""2023-11""",383.13104248
"=""2023-12""",403.51773071
"=""2024-01""",411.89572144
"=""2024-02""",433.65765381
"=""2024-03""",438.60668945
"=""2024-04""",419.97763062
"=""2024-05""",445.81390381
"=""2024-06""",473.90536499
"=""2024-07""",466.69329834
"=""2024-08""",471.84497070
"=""2024-09""",483.53540039
"=""2024-10""",480.02816772
"=""2024-11""",505.71365356
"=""2024-12""",507.19195557
"=""2025-01""",519.00006104
"=""2025-02""",504.96905518
"=""2025-03""",465.96627808
"=""2025-04""",473.17956543
"=""2025-05""",516.60931396
"=""2025-06""",548.98272705
"=""2025-07""",562.91979980
"=""2025-08""",568.28985596
"=""2025-09""",598.14898682
"=""2025-10""",627.46936035
"=""2025-11""",617.67437744
"=""2025-12""",612.74688721
"=""2026-01""",621.08685303
"=""2026-02""",606.52520752
"=""2026-03""",576.45312500
"=""2026-04""",667.73999023
"=""2026-05""",711.06298828
