month,adj_close
"=""2022-12""",261.25960000
"=""2023-01""",289.06530000
"=""2023-02""",288.02530000
"=""2023-03""",315.36530000
"=""2023-04""",316.96700000
"=""2023-05""",341.95610000
"=""2023-06""",363.51310000
"=""2023-07""",377.54510000
"=""2023-08""",371.94610000
"=""2023-09""",353.05390000
"=""2023-10""",345.76160000
"=""2023-11""",383.16900000
"=""2023-12""",404.57110000
"=""2024-01""",411.93110000
"=""2024-02""",433.69480000
"=""2024-03""",439.21930000
"=""2024-04""",420.00880000
"=""2024-05""",445.84700000
"=""2024-06""",474.70200000
"=""2024-07""",466.73600000
"=""2024-08""",471.88820000
"=""2024-09""",484.25720000
"=""2024-10""",480.07020000
"=""2024-11""",505.75790000
"=""2024-12""",508.04600000
"=""2025-01""",519.03710000
"=""2025-02""",505.00500000
"=""2025-03""",466.67920000
"=""2025-04""",473.19790000
"=""2025-05""",516.62940000
"=""2025-06""",549.61440000
"=""2025-07""",562.93530000
"=""2025-08""",568.30550000
"=""2025-09""",598.85470000
"=""2025-10""",627.48230000
"=""2025-11""",617.68710000
"=""2025-12""",613.54530000
"=""2026-01""",621.09590000
"=""2026-02""",606.53410000
"=""2026-03""",577.18000000
"=""2026-04""",667.74000000
"=""2026-05""",711.23000000
